id,name,price,description,image,imagetwo,category,offer,newprice,created_at,updated_at
1,300                          ,995,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
2,AJIN - SEMI-HUMANO 01,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
3,AJIN - SEMI-HUMANO 02,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
4,AJIN - SEMI-HUMANO 03,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
5,AJIN - SEMI-HUMANO 04,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
6,AJIN - SEMI-HUMANO 05,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
7,AJIN - SEMI-HUMANO 06,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
8,AJIN - SEMI-HUMANO 07,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
9,AJIN - SEMI-HUMANO 08,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
10,AJIN - SEMI-HUMANO 09,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
11,AJIN - SEMI-HUMANO 10,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
12,AKAME GA KILL 01                                                           ,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
13,AKAME GA KILL 02,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
14,AKAME GA KILL 03,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
15,AKAME GA KILL 04,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
16,AKAME GA KILL 05,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
17,AKAME GA KILL 06,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
18,AKAME GA KILL 07,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
19,AKAME GA KILL 08,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
20,AKAME GA KILL 09,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
21,AKAME GA KILL 10,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
22,AKAME GA KILL 11,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
23,AKAME GA KILL 12,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
24,AKAME GA KILL 13,595,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
25,AKUMA NO RIDDLE 01                                                              ,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
26,AKUMA NO RIDDLE 02                                                              ,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
27,AKUMA NO RIDDLE 03                                                              ,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
28,AKUMA NO RIDDLE 04                                                              ,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
29,AKUMA NO RIDDLE 05                           ,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
30,ANOHANA 01                                                                      ,495,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
31,ANOHANA 02                                                                      ,495,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
32,ANOHANA 03                                                                      ,495,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
33,ANOTHER 00  (+CAJA),525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
34,ANOTHER 01,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
35,ANOTHER 02,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
36,ANOTHER 03,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
37,ANOTHER 04    ,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
38,AOHA RIDE 01                                                                    ,495,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
39,AOHA RIDE 02                                                                    ,495,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
40,AOHA RIDE 03                                                                    ,495,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
41,AOHA RIDE 04                                                                    ,495,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
42,AOHA RIDE 05                                                                    ,495,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
43,AOHA RIDE 06                                                                    ,495,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
44,AOHA RIDE 07                                                                    ,495,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
45,AOHA RIDE 08                                                                    ,495,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
46,AOHA RIDE 09                                                                    ,495,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
47,AOHA RIDE 10,495,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
48,AOHA RIDE 11,495,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
49,AOHA RIDE 12,495,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
50,AOHA RIDE 13,495,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
51,ATELIER OF WITCH HAT 01,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
52,ATELIER OF WITCH HAT 02,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
53,ATELIER OF WITCH HAT 03,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
